RES00001 | ASS0001 | STU0001 | 50 | Good effort. Needs improvement.
RES00002 | ASS0001 | STU0002 | 60 | Good effort. Satisfactory performance.
RES00003 | ASS0001 | STU0003 | 70 | Good effort. Well done!
RES00004 | ASS0001 | STU0004 | 80 | Good effort. Well done!
RES00005 | ASS0001 | STU0005 | 90 | Good effort. Excellent work!
RES00006 | ASS0002 | STU0001 | 50 | Good effort. Needs improvement.
RES00007 | ASS0002 | STU0002 | 60 | Good effort. Satisfactory performance.
RES00008 | ASS0002 | STU0003 | 70 | Good effort. Well done!
RES00009 | ASS0002 | STU0004 | 80 | Good effort. Well done!
RES00010 | ASS0002 | STU0005 | 90 | Good effort. Excellent work!
RES00011 | ASS0003 | STU0001 | 50 | Good effort. Needs improvement.
RES00012 | ASS0003 | STU0002 | 60 | Good effort. Satisfactory performance.
RES00013 | ASS0003 | STU0003 | 70 | Good effort. Well done!
RES00014 | ASS0003 | STU0004 | 80 | Good effort. Well done!
RES00015 | ASS0003 | STU0005 | 90 | Good effort. Excellent work!
RES00016 | ASS0004 | STU0001 | 55 | Good effort. Satisfactory performance.
RES00017 | ASS0004 | STU0002 | 65 | Good effort. Satisfactory performance.
RES00018 | ASS0004 | STU0003 | 75 | Good effort. Well done!
RES00019 | ASS0004 | STU0004 | 85 | Good effort. Excellent work!
RES00020 | ASS0004 | STU0005 | 95 | Good effort. Excellent work!
RES00021 | ASS0005 | STU0001 | 55 | Good effort. Satisfactory performance.
RES00022 | ASS0005 | STU0002 | 65 | Good effort. Satisfactory performance.
RES00023 | ASS0005 | STU0003 | 75 | Good effort. Well done!
RES00024 | ASS0005 | STU0004 | 85 | Good effort. Excellent work!
RES00025 | ASS0005 | STU0005 | 95 | Good effort. Excellent work!
RES00026 | ASS0006 | STU0001 | 55 | Good effort. Satisfactory performance.
RES00027 | ASS0006 | STU0002 | 65 | Good effort. Satisfactory performance.
RES00028 | ASS0006 | STU0003 | 75 | Good effort. Well done!
RES00029 | ASS0006 | STU0004 | 85 | Good effort. Excellent work!
RES00030 | ASS0006 | STU0005 | 95 | Good effort. Excellent work!
RES00031 | ASS0007 | STU0001 | 60 | Good effort. Satisfactory performance.
RES00032 | ASS0007 | STU0002 | 70 | Good effort. Well done!
RES00033 | ASS0007 | STU0003 | 80 | Good effort. Well done!
RES00034 | ASS0007 | STU0004 | 90 | Good effort. Excellent work!
RES00035 | ASS0007 | STU0005 | 100 | Good effort. Excellent work!
RES00036 | ASS0008 | STU0001 | 60 | Good effort. Satisfactory performance.
RES00037 | ASS0008 | STU0002 | 70 | Good effort. Well done!
RES00038 | ASS0008 | STU0003 | 80 | Good effort. Well done!
RES00039 | ASS0008 | STU0004 | 90 | Good effort. Excellent work!
RES00040 | ASS0008 | STU0005 | 100 | Good effort. Excellent work!
RES00041 | ASS0009 | STU0001 | 60 | Good effort. Satisfactory performance.
RES00042 | ASS0009 | STU0002 | 70 | Good effort. Well done!
RES00043 | ASS0009 | STU0003 | 80 | Good effort. Well done!
RES00044 | ASS0009 | STU0004 | 90 | Good effort. Excellent work!
RES00045 | ASS0009 | STU0005 | 100 | Good effort. Excellent work!
